CustomerID,Recency,Frequency,Monetary,AverageOrderValue,Segment
12421,16,4,639.04,159.76,Potential Customers
12422,96,3,683.5600000000001,227.85333333333335,Loyal Customers
12423,1,8,1634.31,204.28875,VIP Customers
12424,163,2,1760.96,880.48,Loyal Customers
12425,78,1,777.2,777.2,At-Risk Customers
12426,195,1,510.73,510.73,At-Risk Customers
12427,22,3,699.8,233.26666666666665,Potential Customers
12428,26,8,6405.26,800.6575,VIP Customers
12429,9,4,3388.4,847.1,VIP Customers
12430,43,1,216.4,216.4,At-Risk Customers
12431,36,15,6314.95,420.99666666666667,VIP Customers
12432,43,4,4359.32,1089.83,Loyal Customers
12433,1,7,13375.87,1910.8385714285716,VIP Customers
12434,85,2,806.14,403.07,Loyal Customers
12435,80,2,7829.89,3914.945,Loyal Customers
12436,100,1,429.01000000000005,429.01000000000005,At-Risk Customers
12437,2,18,4447.41,247.07833333333332,VIP Customers
12438,14,2,2466.85,1233.425,Loyal Customers
12441,367,1,155.55,155.55,At-Risk Customers
12442,3,1,144.06,144.06,Potential Customers
12444,21,5,4085.46,817.092,Loyal Customers
12445,22,1,77.4,77.4,Potential Customers
12446,58,1,1002.3100000000001,1002.3100000000001,At-Risk Customers
12447,243,1,431.49,431.49,At-Risk Customers
12448,44,1,365.45,365.45,At-Risk Customers
12449,22,4,3596.29,899.0725,Loyal Customers
12450,156,2,197.88,98.94,At-Risk Customers
12451,11,5,8995.52,1799.104,VIP Customers
12452,17,1,348.57,348.57,Potential Customers
12453,134,1,707.09,707.09,At-Risk Customers
12454,56,1,3528.34,3528.34,Loyal Customers
12455,73,5,2339.86,467.97200000000004,Loyal Customers
12456,44,3,2581.04,860.3466666666667,Loyal Customers
12457,66,6,2043.23,340.53833333333336,Loyal Customers
12458,71,2,787.4,393.7,Loyal Customers
12461,155,1,626.88,626.88,At-Risk Customers
12462,19,2,937.59,468.795,Potential Customers
12463,53,4,1200.78,300.195,Loyal Customers
12464,10,8,957.05,119.63125,VIP Customers
12465,17,2,682.1899999999999,341.09499999999997,Potential Customers
12468,188,2,657.54,328.77,At-Risk Customers
12471,2,27,17388.649999999998,644.024074074074,VIP Customers
12472,32,7,6068.11,866.8728571428571,VIP Customers
12473,54,3,2585.73,861.91,Loyal Customers
12474,17,18,6694.09,371.8938888888889,VIP Customers
12475,54,1,669.38,669.38,At-Risk Customers
12476,16,11,5898.42,536.22,VIP Customers
12477,23,6,13219.74,2203.29,VIP Customers
12478,4,1,545.99,545.99,Potential Customers
12479,11,1,473.2,473.2,Potential Customers
12480,28,4,2885.63,721.4075,Loyal Customers
12481,23,10,5003.82,500.38199999999995,VIP Customers
12483,17,8,1910.98,238.8725,VIP Customers
12484,35,4,3939.32,984.83,Loyal Customers
12488,10,3,1244.66,414.8866666666667,Potential Customers
12489,336,1,298.93,298.93,At-Risk Customers
12490,5,10,4859.93,485.99300000000005,VIP Customers
12491,39,1,424.40000000000003,424.40000000000003,Potential Customers
12492,63,2,227.21,113.605,At-Risk Customers
12493,166,2,415.74,207.87,At-Risk Customers
12494,16,7,1084.1000000000001,154.8714285714286,Loyal Customers
12497,82,1,953.1,953.1,At-Risk Customers
12498,21,3,349.70000000000005,116.56666666666668,Potential Customers
12500,23,11,4059.82,369.07454545454544,VIP Customers
12501,337,1,2025.39,2025.39,At-Risk Customers
12502,96,5,2995.87,599.174,Loyal Customers
12504,18,2,428.04999999999995,214.02499999999998,Potential Customers
12506,233,1,73.5,73.5,At-Risk Customers
12507,134,3,1052.81,350.93666666666667,Loyal Customers
12508,26,2,397.88,198.94,Potential Customers
12509,284,1,158.5,158.5,At-Risk Customers
12510,143,2,814.5699999999999,407.28499999999997,At-Risk Customers
12512,66,2,132.18,66.09,At-Risk Customers
12513,113,1,558.29,558.29,At-Risk Customers
12514,267,1,1017.68,1017.68,At-Risk Customers
12515,353,1,278.7,278.7,At-Risk Customers
12516,78,2,1186.06,593.03,Loyal Customers
12517,28,4,2301.6,575.4,Loyal Customers
12518,1,5,1840.89,368.178,VIP Customers
12519,64,1,276.84,276.84,At-Risk Customers
12520,79,5,2346.2599999999998,469.25199999999995,Loyal Customers
12521,143,1,545.68,545.68,At-Risk Customers
12522,39,2,156.72,78.36,Potential Customers
12523,19,11,1699.77,154.52454545454546,VIP Customers
12524,9,8,3945.72,493.215,VIP Customers
12526,1,3,1172.66,390.8866666666667,Potential Customers
12527,82,3,330.71000000000004,110.23666666666668,At-Risk Customers
12528,9,6,1645.48,274.24666666666667,VIP Customers
12530,60,4,1500.28,375.07,Loyal Customers
12531,15,1,125.22,125.22,Potential Customers
12532,30,1,313.83000000000004,313.83000000000004,Potential Customers
12534,131,1,981.18,981.18,At-Risk Customers
12535,92,2,716.35,358.175,At-Risk Customers
12536,59,1,4279.71,4279.71,Loyal Customers
12538,29,1,363.95,363.95,Potential Customers
12539,22,4,5568.35,1392.0875,Loyal Customers
12540,20,17,11580.24,681.1905882352941,VIP Customers
12541,30,3,841.18,280.3933333333333,Loyal Customers
12544,36,1,316.7,316.7,Potential Customers
12545,75,2,832.39,416.195,Loyal Customers
12546,47,2,1021.5,510.75,Loyal Customers
12547,198,2,151.79999999999998,75.89999999999999,At-Risk Customers
12548,166,1,67.19999999999999,67.19999999999999,At-Risk Customers
12550,79,1,824.83,824.83,At-Risk Customers
12551,358,1,168.0,168.0,At-Risk Customers
12552,40,1,317.82,317.82,Potential Customers
12553,8,10,3278.28,327.82800000000003,VIP Customers
12556,50,2,599.56,299.78,Potential Customers
12557,16,5,11990.960000000001,2398.192,VIP Customers
12558,8,1,269.96,269.96,Potential Customers
12559,311,2,525.71,262.855,At-Risk Customers
12560,5,2,1918.01,959.005,Potential Customers
12561,303,1,238.85,238.85,At-Risk Customers
12562,8,7,3385.7400000000002,483.6771428571429,VIP Customers
12564,261,1,402.9,402.9,At-Risk Customers
12565,289,1,145.92,145.92,At-Risk Customers
12566,86,1,297.65,297.65,At-Risk Customers
12567,23,10,8609.28,860.9280000000001,VIP Customers
12569,2,32,3152.69,98.5215625,VIP Customers
12571,40,2,519.61,259.805,Potential Customers
12572,9,2,912.42,456.21,Potential Customers
12573,227,1,160.54000000000002,160.54000000000002,At-Risk Customers
12574,316,1,182.45000000000002,182.45000000000002,At-Risk Customers
12576,36,5,1315.83,263.166,Loyal Customers
12577,35,3,622.65,207.54999999999998,Loyal Customers
12578,21,2,2402.51,1201.255,Loyal Customers
12579,78,1,386.42,386.42,At-Risk Customers
12580,247,1,379.7,379.7,At-Risk Customers
12581,40,1,179.71,179.71,At-Risk Customers
12582,239,2,351.36,175.68,At-Risk Customers
12583,3,15,6705.38,447.0253333333333,VIP Customers
12584,4,9,2254.15,250.4611111111111,VIP Customers
12585,234,2,1824.1,912.05,Loyal Customers
12586,17,1,196.94000000000003,196.94000000000003,Potential Customers
12587,8,1,104.0,104.0,Potential Customers
12588,39,1,174.89999999999998,174.89999999999998,At-Risk Customers
12589,29,2,574.68,287.34,Potential Customers
12590,211,1,9341.26,9341.26,Loyal Customers
12591,317,1,368.85,368.85,At-Risk Customers
12592,92,2,401.6,200.8,At-Risk Customers
12593,109,3,382.09999999999997,127.36666666666666,At-Risk Customers
12594,38,9,3208.2200000000003,356.4688888888889,VIP Customers
12596,51,2,450.27,225.135,Potential Customers
12597,19,4,3195.22,798.805,Loyal Customers
12598,10,7,2807.08,401.01142857142855,VIP Customers
12599,29,7,888.58,126.94000000000001,Loyal Customers
12600,29,10,2311.04,231.10399999999998,VIP Customers
12601,190,5,487.06,97.412,Loyal Customers
12602,59,1,153.12,153.12,At-Risk Customers
12603,22,1,613.1999999999999,613.1999999999999,Potential Customers
12604,79,2,236.18,118.09,At-Risk Customers
12607,60,1,1579.51,1579.51,Loyal Customers
12609,78,3,964.85,321.6166666666667,Loyal Customers
12610,23,4,1747.54,436.885,Loyal Customers
12611,52,1,1193.32,1193.32,Loyal Customers
12612,74,1,668.0400000000001,668.0400000000001,At-Risk Customers
12613,57,4,3092.38,773.095,Loyal Customers
12614,278,1,315.6,315.6,At-Risk Customers
12615,2,4,2093.19,523.2975,VIP Customers
12616,95,2,641.3,320.65,At-Risk Customers
12617,29,1,352.98,352.98,Potential Customers
12618,22,1,137.31,137.31,Potential Customers
12619,16,8,2945.56,368.195,VIP Customers
12620,15,3,1303.41,434.47,Loyal Customers
12621,2,20,12411.67,620.5835,VIP Customers
12622,232,1,162.1,162.1,At-Risk Customers
12623,276,1,269.1,269.1,At-Risk Customers
12624,106,2,569.13,284.565,At-Risk Customers
12625,212,2,2413.82,1206.91,Loyal Customers
12626,23,9,5954.48,661.6088888888888,VIP Customers
12627,11,6,4082.53,680.4216666666667,VIP Customers
12628,4,3,732.46,244.15333333333334,Potential Customers
12630,10,2,1030.88,515.44,Potential Customers
12631,57,1,480.5,480.5,At-Risk Customers
12633,59,4,1929.98,482.495,Loyal Customers
12635,90,2,1509.18,754.59,Loyal Customers
12637,67,8,5804.9,725.6125,Loyal Customers
12638,33,1,511.69,511.69,Potential Customers
12639,239,1,366.1,366.1,At-Risk Customers
12640,24,3,994.58,331.5266666666667,Loyal Customers
12641,115,1,145.9,145.9,At-Risk Customers
12642,25,3,905.26,301.75333333333333,Loyal Customers
12643,128,6,3041.64,506.94,Loyal Customers
12644,130,1,477.91,477.91,At-Risk Customers
12645,34,4,1631.18,407.795,Loyal Customers
12646,5,2,1346.97,673.485,Potential Customers
12647,22,12,3146.82,262.235,VIP Customers
12648,155,1,300.05,300.05,At-Risk Customers
12649,107,3,569.51,189.83666666666667,Loyal Customers
12650,3,1,242.44000000000003,242.44000000000003,Potential Customers
12651,335,1,114.0,114.0,At-Risk Customers
12652,331,1,793.98,793.98,At-Risk Customers
12653,149,2,2209.85,1104.925,Loyal Customers
12654,11,5,529.98,105.99600000000001,Potential Customers
12656,17,5,3619.17,723.8340000000001,Loyal Customers
12657,11,4,1427.18,356.795,Loyal Customers
12658,19,1,632.05,632.05,Potential Customers
12659,30,1,73.68,73.68,Potential Customers
12660,11,1,227.1,227.1,Potential Customers
12662,1,11,3543.78,322.1618181818182,VIP Customers
12664,8,9,4391.88,487.9866666666667,VIP Customers
12665,325,1,45.0,45.0,At-Risk Customers
12667,58,1,460.13,460.13,At-Risk Customers
12668,12,4,3177.15,794.2875,Loyal Customers
12669,151,2,1427.73,713.865,Loyal Customers
12670,10,5,2744.05,548.8100000000001,VIP Customers
12672,330,1,225.89999999999998,225.89999999999998,At-Risk Customers
12673,5,2,574.52,287.26,Potential Customers
12674,39,4,1844.6,461.15,Loyal Customers
12676,25,6,1091.39,181.89833333333334,Loyal Customers
12678,42,10,16481.46,1648.146,VIP Customers
12679,59,4,951.02,237.755,Loyal Customers
12680,1,4,790.81,197.7025,Potential Customers
12681,15,22,12365.54,562.07,VIP Customers
12682,4,31,11019.82,355.478064516129,VIP Customers
12683,4,14,7612.57,543.755,VIP Customers
12684,8,6,2073.63,345.605,VIP Customers
12685,28,6,2575.08,429.18,Loyal Customers
12686,372,1,71.14,71.14,At-Risk Customers
12688,114,1,4873.8099999999995,4873.8099999999995,Loyal Customers
12689,26,2,1139.61,569.805,Loyal Customers
12690,206,1,335.01,335.01,At-Risk Customers
12691,28,5,927.8,185.56,Loyal Customers
12693,127,4,711.91,177.9775,Loyal Customers
12694,70,2,761.67,380.835,Loyal Customers
12695,7,4,582.1,145.525,Potential Customers
12697,29,3,757.59,252.53,Loyal Customers
12700,8,4,4525.99,1131.4975,VIP Customers
12701,80,2,725.71,362.855,Loyal Customers
12702,20,1,201.0,201.0,Potential Customers
12703,71,1,265.55,265.55,At-Risk Customers
12704,7,8,1740.84,217.605,VIP Customers
12705,15,8,6382.29,797.78625,VIP Customers
12707,292,1,603.42,603.42,At-Risk Customers
12708,30,10,2442.91,244.291,VIP Customers
12709,15,15,9400.52,626.7013333333333,VIP Customers
12710,97,3,1023.02,341.00666666666666,Loyal Customers
12712,29,13,3928.13,302.1638461538462,VIP Customers
12713,1,1,794.55,794.55,Potential Customers
12714,9,5,4294.86,858.972,VIP Customers
12715,106,1,263.36,263.36,At-Risk Customers
12716,4,2,963.49,481.745,Potential Customers
12717,151,2,830.98,415.49,At-Risk Customers
12718,71,1,202.25,202.25,At-Risk Customers
12719,5,2,572.95,286.475,Potential Customers
12720,3,25,5115.7300000000005,204.62920000000003,VIP Customers
12721,32,6,2386.13,397.68833333333333,Loyal Customers
12722,85,4,979.63,244.9075,Loyal Customers
12723,4,5,707.07,141.41400000000002,Potential Customers
12724,5,4,923.41,230.8525,Potential Customers
12725,371,1,371.8,371.8,At-Risk Customers
12726,28,7,2411.1,344.4428571428571,Loyal Customers
12727,11,7,3440.7,491.5285714285714,VIP Customers
12728,71,4,728.33,182.0825,Loyal Customers
12729,114,1,417.01,417.01,At-Risk Customers
12731,24,12,18751.91,1562.6591666666666,VIP Customers
12732,180,1,218.26000000000002,218.26000000000002,At-Risk Customers
12733,234,1,383.95,383.95,At-Risk Customers
12734,353,1,110.39999999999999,110.39999999999999,At-Risk Customers
12735,315,2,689.5699999999999,344.78499999999997,At-Risk Customers
12736,333,1,144.0,144.0,At-Risk Customers
12738,372,1,137.35,137.35,At-Risk Customers
12739,99,1,975.54,975.54,At-Risk Customers
12740,64,1,427.6,427.6,At-Risk Customers
12743,134,2,540.13,270.065,At-Risk Customers
12744,56,4,9120.39,2280.0975,Loyal Customers
12747,2,11,4196.01,381.4554545454546,VIP Customers
12748,1,206,31650.78,153.6445631067961,VIP Customers
12749,4,5,4090.88,818.176,VIP Customers
12750,129,1,275.88,275.88,At-Risk Customers
12752,81,1,4366.78,4366.78,Loyal Customers
12753,23,6,21429.39,3571.565,VIP Customers
12754,236,3,3010.74,1003.5799999999999,Loyal Customers
12755,281,2,3811.95,1905.975,Loyal Customers
12756,87,1,112.07999999999998,112.07999999999998,At-Risk Customers
12757,16,9,4176.75,464.0833333333333,VIP Customers
12758,117,2,2791.59,1395.795,Loyal Customers
12759,52,3,1411.44,470.48,Loyal Customers
12762,8,2,1702.52,851.26,Potential Customers
12763,138,2,494.08,247.04,At-Risk Customers
12764,317,1,1693.88,1693.88,At-Risk Customers
12766,4,7,6457.63,922.5185714285715,VIP Customers
12769,239,1,1143.6,1143.6,At-Risk Customers
12770,211,1,1351.45,1351.45,At-Risk Customers
12772,60,1,752.47,752.47,At-Risk Customers
12775,17,5,1281.04,256.20799999999997,Loyal Customers
12778,20,6,693.23,115.53833333333334,Loyal Customers
12779,38,8,3981.36,497.67,Loyal Customers
12781,64,2,786.74,393.37,Loyal Customers
12782,5,5,1938.92,387.784,VIP Customers
12783,2,4,1295.87,323.9675,Potential Customers
12784,15,1,476.82,476.82,Potential Customers
12785,364,1,255.95,255.95,At-Risk Customers
12787,10,3,418.66,139.55333333333334,Potential Customers
12789,65,1,76.85,76.85,At-Risk Customers
12790,192,1,294.92,294.92,At-Risk Customers
12791,374,1,177.60000000000002,177.60000000000002,At-Risk Customers
12792,257,1,344.53999999999996,344.53999999999996,At-Risk Customers
12793,335,2,461.48,230.74,At-Risk Customers
12794,53,2,860.41,430.205,Loyal Customers
12795,19,1,318.48,318.48,Potential Customers
12797,366,1,226.03,226.03,At-Risk Customers
12798,10,3,6977.04,2325.68,VIP Customers
12802,187,1,397.58,397.58,At-Risk Customers
12808,37,3,455.65000000000003,151.88333333333335,Potential Customers
12809,178,1,405.31,405.31,At-Risk Customers
12811,262,2,458.85,229.425,At-Risk Customers
12812,45,1,229.64000000000001,229.64000000000001,At-Risk Customers
12814,102,1,85.92,85.92,At-Risk Customers
12815,148,2,863.46,431.73,At-Risk Customers
12816,96,2,452.20000000000005,226.10000000000002,At-Risk Customers
12817,281,1,126.03999999999999,126.03999999999999,At-Risk Customers
12818,262,1,1182.0800000000002,1182.0800000000002,At-Risk Customers
12820,3,4,942.34,235.585,Potential Customers
12821,214,1,92.72,92.72,At-Risk Customers
12822,71,2,948.88,474.44,Loyal Customers
12823,75,5,1759.5,351.9,Loyal Customers
12824,60,1,397.12,397.12,At-Risk Customers
12826,3,7,1474.72,210.67428571428573,VIP Customers
12827,6,3,430.15000000000003,143.38333333333335,Potential Customers
12828,3,6,1018.71,169.785,VIP Customers
12829,337,2,293.0,146.5,At-Risk Customers
12830,38,6,6814.64,1135.7733333333333,Loyal Customers
12831,262,1,215.05,215.05,At-Risk Customers
12832,32,2,383.03,191.515,Potential Customers
12833,145,1,417.38,417.38,At-Risk Customers
12834,283,1,312.38,312.38,At-Risk Customers
12836,59,4,2610.36,652.59,Loyal Customers
12837,173,1,134.1,134.1,At-Risk Customers
12838,34,2,671.95,335.975,Potential Customers
12839,3,14,5591.42,399.38714285714286,VIP Customers
12840,144,4,2726.77,681.6925,Loyal Customers
12841,5,25,3991.58,159.6632,VIP Customers
12842,70,2,1118.99,559.495,Loyal Customers
12843,66,8,1702.26,212.7825,Loyal Customers
12844,29,2,325.96000000000004,162.98000000000002,Potential Customers
12845,267,4,354.09,88.5225,At-Risk Customers
12847,22,1,843.64,843.64,Potential Customers
12849,31,2,992.65,496.325,Loyal Customers
12851,97,1,131.81,131.81,At-Risk Customers
12852,295,1,311.55,311.55,At-Risk Customers
12853,135,6,1957.1000000000001,326.18333333333334,Loyal Customers
12854,79,3,1316.25,438.75,Loyal Customers
12855,373,1,38.1,38.1,At-Risk Customers
12856,8,6,2170.78,361.7966666666667,VIP Customers
12857,211,2,1106.4,553.2,At-Risk Customers
12863,52,1,521.2,521.2,At-Risk Customers
12864,138,1,147.12,147.12,At-Risk Customers
12865,26,2,1568.23,784.115,Loyal Customers
12866,283,1,499.12,499.12,At-Risk Customers
12867,26,7,4009.34,572.7628571428571,VIP Customers
12868,186,6,1607.0600000000002,267.84333333333336,Loyal Customers
12871,84,2,380.64,190.32,At-Risk Customers
12872,327,2,599.97,299.985,At-Risk Customers
12873,282,1,374.0,374.0,At-Risk Customers
12875,143,2,343.2300000000001,171.61500000000004,At-Risk Customers
12876,58,2,2053.02,1026.51,Loyal Customers
12877,4,12,1535.77,127.98083333333334,VIP Customers
12878,236,2,854.99,427.495,At-Risk Customers
12879,45,3,573.22,191.07333333333335,Loyal Customers
12881,276,1,298.0,298.0,At-Risk Customers
12882,9,2,1463.04,731.52,Potential Customers
12883,25,4,703.47,175.8675,Loyal Customers
12884,88,1,309.05,309.05,At-Risk Customers
12885,63,3,1175.22,391.74,Loyal Customers
12886,68,2,1378.4,689.2,Loyal Customers
12888,214,2,354.12,177.06,At-Risk Customers
12890,24,1,376.71999999999997,376.71999999999997,Potential Customers
12891,186,3,331.0,110.33333333333333,At-Risk Customers
12893,31,1,176.55,176.55,Potential Customers
12895,42,2,372.8,186.4,Potential Customers
12897,205,2,216.5,108.25,At-Risk Customers
12901,9,28,17654.54,630.5192857142857,VIP Customers
12902,265,1,138.68,138.68,At-Risk Customers
12904,18,2,496.06,248.03,Potential Customers
12906,12,5,2919.81,583.962,VIP Customers
12908,176,2,750.0,375.0,At-Risk Customers
12909,40,5,2178.67,435.73400000000004,Loyal Customers
12910,23,8,3075.04,384.38,VIP Customers
12912,3,5,1662.3,332.46,VIP Customers
12913,5,5,2483.63,496.726,VIP Customers
12915,149,2,363.65,181.825,At-Risk Customers
12916,139,4,2944.95,736.2375,Loyal Customers
12917,128,1,594.0,594.0,At-Risk Customers
12919,8,6,1335.19,222.53166666666667,VIP Customers
12920,17,1,162.78,162.78,Potential Customers
12921,9,37,16587.09,448.29972972972973,VIP Customers
12922,161,1,405.38,405.38,At-Risk Customers
12923,64,1,171.57,171.57,At-Risk Customers
12924,88,4,925.75,231.4375,Loyal Customers
12925,5,2,694.05,347.025,Potential Customers
12928,35,5,2062.7000000000003,412.5400000000001,Loyal Customers
12929,312,1,117.85,117.85,At-Risk Customers
12930,78,2,415.8,207.9,At-Risk Customers
12931,22,15,42055.96,2803.730666666667,VIP Customers
12933,24,3,607.53,202.51,Potential Customers
12935,2,7,2160.7,308.6714285714285,VIP Customers
12936,17,4,1063.9,265.975,Loyal Customers
12937,15,4,1504.27,376.0675,Loyal Customers
12938,26,1,114.14,114.14,Potential Customers
12939,64,8,11581.8,1447.725,VIP Customers
12940,55,2,899.69,449.845,Loyal Customers
12942,131,3,675.6,225.20000000000002,Loyal Customers
12944,36,2,604.51,302.255,Potential Customers
12945,288,1,462.95,462.95,At-Risk Customers
12947,144,6,1603.99,267.33166666666665,Loyal Customers
12948,16,7,2064.95,294.99285714285713,VIP Customers
12949,31,8,4167.22,520.9025,VIP Customers
12950,2,3,1843.0,614.3333333333334,Potential Customers
12951,9,6,1064.07,177.345,Loyal Customers
12952,6,4,1387.79,346.9475,Potential Customers
12953,10,1,329.85,329.85,Potential Customers
12955,1,11,4757.16,432.4690909090909,VIP Customers
12956,306,1,108.07,108.07,At-Risk Customers
12957,10,8,4017.54,502.1925,VIP Customers
12962,7,2,266.39,133.195,Potential Customers
12963,8,8,1856.63,232.07875,VIP Customers
12965,89,1,769.8100000000001,769.8100000000001,At-Risk Customers
12966,10,1,160.18,160.18,Potential Customers
12967,358,2,1660.9,830.45,Loyal Customers
12968,112,1,135.95,135.95,At-Risk Customers
12970,7,4,405.47,101.3675,Potential Customers
12971,4,86,11189.91,130.11523255813952,VIP Customers
12974,198,1,144.8,144.8,At-Risk Customers
12976,212,1,738.6,738.6,At-Risk Customers
12977,156,1,39.239999999999995,39.239999999999995,At-Risk Customers
12980,158,9,7374.900000000001,819.4333333333334,Loyal Customers
12981,30,2,372.21999999999997,186.10999999999999,Potential Customers
12982,243,1,390.54,390.54,At-Risk Customers
12984,19,1,97.5,97.5,Potential Customers
12985,1,2,1239.38,619.69,Potential Customers
12987,74,2,558.7,279.35,At-Risk Customers
12988,292,1,505.82,505.82,At-Risk Customers
12989,3,15,6924.110000000001,461.6073333333334,VIP Customers
12990,31,3,409.5,136.5,Potential Customers
12991,23,2,503.76,251.88,Potential Customers
12993,23,4,414.76,103.69,Potential Customers
12994,4,3,974.4200000000001,324.8066666666667,Potential Customers
12995,85,1,211.32,211.32,At-Risk Customers
12997,22,4,1226.89,306.7225,Loyal Customers
12999,196,3,455.88,151.96,At-Risk Customers
13000,107,3,534.85,178.28333333333333,Loyal Customers
13001,4,13,9785.970000000001,752.7669230769231,VIP Customers
13002,318,1,120.94999999999999,120.94999999999999,At-Risk Customers
13003,106,3,149.05,49.68333333333334,At-Risk Customers
13004,12,18,5655.91,314.21722222222223,VIP Customers
13005,174,2,513.7,256.85,At-Risk Customers
13006,56,1,81.57,81.57,At-Risk Customers
13008,323,1,229.46999999999997,229.46999999999997,At-Risk Customers
13011,372,1,50.550000000000004,50.550000000000004,At-Risk Customers
13012,9,8,1646.8400000000001,205.85500000000002,VIP Customers
13013,1,13,4810.9400000000005,370.07230769230773,VIP Customers
13014,11,10,3466.2799999999997,346.628,VIP Customers
13015,53,5,3339.64,667.928,Loyal Customers
13016,73,3,789.89,263.2966666666667,Loyal Customers
13017,7,1,204.0,204.0,Potential Customers
13018,16,28,7277.7,259.91785714285714,VIP Customers
13021,4,9,2616.38,290.7088888888889,VIP Customers
13023,64,2,599.9,299.95,At-Risk Customers
13026,1,5,975.36,195.072,VIP Customers
13027,114,6,6912.0,1152.0,Loyal Customers
13028,23,2,661.3199999999999,330.65999999999997,Potential Customers
13029,31,3,1247.5,415.8333333333333,Loyal Customers
13030,11,2,752.4399999999999,376.21999999999997,Potential Customers
13032,52,2,1010.18,505.09,Loyal Customers
13033,357,1,190.55,190.55,At-Risk Customers
13034,55,2,642.77,321.385,Loyal Customers
13035,74,2,921.88,460.94,Loyal Customers
13037,138,3,881.07,293.69,Loyal Customers
13038,80,3,908.46,302.82,Loyal Customers
13040,9,2,676.99,338.495,Potential Customers
13043,273,1,516.42,516.42,At-Risk Customers
13044,291,1,560.47,560.47,At-Risk Customers
13045,99,1,305.28000000000003,305.28000000000003,At-Risk Customers
13046,31,2,629.31,314.655,Potential Customers
13047,57,9,3232.59,359.1766666666667,Loyal Customers
13048,14,4,1819.41,454.8525,Loyal Customers
13049,64,2,656.6800000000001,328.34000000000003,Loyal Customers
13050,15,17,5833.11,343.1241176470588,VIP Customers
13052,212,1,348.15000000000003,348.15000000000003,At-Risk Customers
13055,78,3,1214.41,404.80333333333334,Loyal Customers
13058,25,3,271.40000000000003,90.46666666666668,Potential Customers
13059,250,1,183.4,183.4,At-Risk Customers
13060,254,1,307.53,307.53,At-Risk Customers
13061,72,1,248.61,248.61,At-Risk Customers
13062,191,1,346.98,346.98,At-Risk Customers
13064,13,4,1105.59,276.3975,Loyal Customers
13065,373,1,205.86,205.86,At-Risk Customers
13066,24,2,470.8,235.4,Potential Customers
13067,82,1,115.46000000000001,115.46000000000001,At-Risk Customers
13068,10,2,344.0,172.0,Potential Customers
